"date","geography","geography code","Rural Urban","Distance travelled to work: All categories: Distance travelled to work; measures: Value","Distance travelled to work: Less than 2km; measures: Value","Distance travelled to work: 2km to less than 5km; measures: Value","Distance travelled to work: 5km to less than 10km; measures: Value","Distance travelled to work: 10km to less than 20km; measures: Value","Distance travelled to work: 20km to less than 30km; measures: Value","Distance travelled to work: 30km to less than 40km; measures: Value","Distance travelled to work: 40km to less than 60km; measures: Value","Distance travelled to work: 60km and over; measures: Value","Distance travelled to work: Work mainly at or from home; measures: Value","Distance travelled to work: Other; measures: Value","Distance travelled to work: Total distance (km); measures: Value","Distance travelled to work: Average distance (km); measures: Value"
"2011","Blackpool","E06000009","Total",61419,15754,17613,8224,3217,2604,643,740,1468,6173,4983,571627.6,11.4
"2011","Cheshire East","E06000049","Total",181136,32246,26242,25533,32196,12469,6538,4525,5530,23337,12520,2391342.2,16.5
"2011","Cheshire West and Chester","E06000050","Total",160138,26528,25727,23424,27282,13656,5786,4132,5441,17178,10984,2297378.4,17.4
"2011","Halton","E06000006","Total",57577,10704,13262,9929,9316,2987,1800,591,1614,3696,3678,729884.2,14.5
"2011","Warrington","E06000007","Total",100856,15292,24014,16340,12844,9933,2767,998,2737,9336,6595,1272896.6,15.0
"2011","Cumbria","E10000006","Total",243231,56105,41354,28893,34157,14219,6706,5438,8767,31176,16416,3165636.4,16.2
"2011","Bolton","E08000001","Total",123367,21045,27946,22080,19590,8280,1601,1197,2588,10086,8954,1356332.2,13.0
"2011","Bury","E08000002","Total",88036,13856,17131,19581,15805,3567,1170,1084,1861,7689,6292,987293.5,13.3
"2011","Manchester","E08000003","Total",213705,40091,53634,50895,19994,4423,2506,3836,5397,15288,17641,2234478.5,12.4
"2011","Oldham","E08000004","Total",96300,18074,23869,18594,13470,3004,1587,1384,1698,7349,7271,927093.0,11.4
"2011","Rochdale","E08000005","Total",90753,17250,19314,18308,13162,4112,1446,1134,1861,7076,7090,943287.7,12.3
"2011","Salford","E08000006","Total",106904,20766,24873,22558,14750,2846,1279,1385,2644,7987,7816,1135697.7,12.5
"2011","Stockport","E08000007","Total",137130,20812,29557,29992,23689,3157,1549,2095,2864,13362,10053,1408370.6,12.4
"2011","Tameside","E08000008","Total",101892,18180,23046,22200,16585,2249,1197,1494,1920,7651,7370,987444.0,11.4
"2011","Trafford","E08000009","Total",110912,16539,23249,26282,17480,3071,1175,1804,2535,11166,7611,1186307.2,12.9
"2011","Wigan","E08000010","Total",149908,24856,29011,28699,25166,11832,3450,1081,3320,10864,11629,1755520.9,13.8
"2011","Lancashire","E10000017","Total",546208,101990,107240,94677,77197,30340,17106,11153,13186,53842,39477,6467399.2,14.3
"2011","Knowsley","E08000011","Total",61691,9948,11064,15620,11750,1424,1093,769,1593,3531,4899,742355.7,13.9
"2011","Liverpool","E08000012","Total",196630,34811,51672,48405,17061,5491,2175,4363,4965,12180,15507,2219401.2,13.1
"2011","Sefton","E08000014","Total",121919,23016,21780,20466,20659,8431,2490,2346,3074,10137,9520,1595441.0,15.6
"2011","St. Helens","E08000013","Total",78580,12438,17763,14800,13874,4065,2561,604,1928,5347,5200,962756.4,14.2
"2011","Wirral","E08000015","Total",139929,20927,30527,32533,19400,5932,1877,2717,4051,11602,10363,1747654.5,14.8
"2011","East Riding of Yorkshire","E06000011","Total",158757,27211,17065,24412,29827,11759,6293,5188,6184,18942,11876,2345745.7,18.3
"2011","Kingston upon Hull, City of","E06000010","Total",110903,22484,39799,21744,5773,1946,1198,1070,3541,5676,7672,1107323.6,11.4
"2011","North East Lincolnshire","E06000012","Total",70776,15634,21831,10499,6022,1845,1278,858,2534,4574,5701,800659.5,13.2
"2011","North Lincolnshire","E06000013","Total",78101,14268,16130,10639,12101,4937,2918,1921,3070,6841,5276,1113887.1,16.9
"2011","York","E06000014","Total",98721,23810,26163,11687,6239,4207,4582,2954,3451,9297,6331,1315177.8,15.8
"2011","North Yorkshire","E10000023","Total",299201,63714,35419,31479,42516,25515,11864,8486,12269,45617,22322,4451016.6,19.2
"2011","Barnsley","E08000016","Total",103579,16863,19539,17915,18968,8001,1876,1128,3043,7945,8301,1291115.2,14.8
"2011","Doncaster","E08000017","Total",133815,20502,25659,26358,19433,8124,3913,3416,4564,11055,10791,1786109.0,16.0
"2011","Rotherham","E08000018","Total",114871,16294,22228,25968,21791,3246,1690,2459,3550,8748,8897,1393038.1,14.3
"2011","Sheffield","E08000019","Total",244318,43491,60057,55808,23191,5489,3318,6474,8702,18553,19235,2895284.3,14.0
"2011","Bradford","E08000032","Total",218937,39380,50949,40852,34717,9010,1785,2804,4745,19312,15383,2333165.5,12.7
"2011","Calderdale","E08000033","Total",96645,17372,21761,18300,12837,5308,2047,1098,1729,9506,6687,980143.9,12.2
"2011","Kirklees","E08000034","Total",192397,31917,40980,36147,32259,10152,3696,2237,4079,17716,13214,2050413.4,12.7
"2011","Leeds","E08000035","Total",355225,55977,78034,85954,51690,11317,3815,4283,10005,29647,24503,3980077.1,13.2
"2011","Wakefield","E08000036","Total",151828,25780,28550,26788,32850,8223,2945,1214,3768,11373,10337,1755099.6,13.5
"2011","Derby","E06000015","Total",112422,22119,35130,15049,12100,5409,1547,2514,3368,7829,7357,1227184.6,12.6
"2011","Leicester","E06000016","Total",137494,31686,44409,21896,7887,4013,2896,2401,4023,9392,8891,1281186.8,10.7
"2011","Nottingham","E06000018","Total",123218,25562,35486,22556,8830,3666,1772,1395,5733,8856,9362,1428854.1,13.6
"2011","Rutland","E06000017","Total",18037,3929,1198,2152,2356,1574,953,620,976,3011,1268,284005.2,20.6
"2011","Derbyshire","E10000007","Total",372011,60756,54955,67173,72847,21828,9277,7450,11667,38575,27483,4650318.1,15.2
"2011","Leicestershire","E10000018","Total",324575,51108,47624,59988,58679,21938,8733,7619,10286,35597,23003,4004379.4,15.1
"2011","Lincolnshire","E10000019","Total",334135,65359,46897,42032,49335,29013,11719,10510,13950,39084,26236,4816917.4,17.9
"2011","Northamptonshire","E10000021","Total",349454,58606,64886,50333,51223,25817,10524,8505,17135,35917,26508,4749242.6,16.5
"2011","Nottinghamshire","E10000024","Total",375195,58374,67436,70457,59200,25123,9223,6443,14640,37512,26787,4896794.6,15.8
"2011","Herefordshire, County of","E06000019","Total",90237,17872,13215,10050,11752,6004,2393,2117,3523,15123,8188,1118280.6,16.7
"2011","Shropshire","E06000051","Total",150748,28113,18830,15802,21518,15321,5774,4640,5989,22808,11953,2166748.1,18.7
"2011","Stoke-on-Trent","E06000021","Total",108109,19827,29878,23885,9578,3937,1258,2409,2906,6933,7498,1104251.3,11.8
"2011","Telford and Wrekin","E06000020","Total",78372,13034,19164,14976,7466,4937,2284,2237,2955,6331,4988,1023212.6,15.3
"2011","Staffordshire","E10000028","Total",412473,65182,68643,64966,74543,32648,11899,9370,11979,42861,30382,5212311.8,15.4
"2011","Warwickshire","E10000031","Total",272321,44480,43773,40366,47345,21087,8897,5781,9853,31389,19350,3495471.4,15.8
"2011","Birmingham","E08000025","Total",423691,63012,95188,109441,53686,11977,5523,4467,12646,32837,34914,4378263.9,12.3
"2011","Coventry","E08000026","Total",137560,23754,39327,24120,14284,7750,2579,1941,4191,10043,9571,1471883.0,12.5
"2011","Dudley","E08000027","Total",141998,22859,35502,31218,20914,4167,1585,1285,3228,10956,10284,1388958.3,11.5
"2011","Sandwell","E08000028","Total",128630,20368,34988,33361,14481,2430,1747,1140,3118,7840,9157,1218915.1,10.9
"2011","Solihull","E08000029","Total",97941,11583,18059,21995,18576,5121,1350,957,3289,9989,7022,1152211.1,14.2
"2011","Walsall","E08000030","Total",112270,18152,25857,24264,19389,2838,1516,1188,2566,8150,8350,1119408.7,11.7
"2011","Wolverhampton","E08000031","Total",104284,17889,29100,18678,12333,6342,969,1230,3030,7229,7484,1185100.7,13.2
"2011","Worcestershire","E10000034","Total",278242,47654,48572,33822,44530,24364,10140,6087,8354,33522,21197,3486891.2,15.6
"2011","Bedford","E06000055","Total",75810,13693,16618,8184,8641,6027,2091,1898,4858,7921,5879,1007453.7,16.2
"2011","Central Bedfordshire","E06000056","Total",132061,17887,12744,16544,27533,11318,5243,8120,6048,14781,11843,2021669.9,19.2
"2011","Luton","E06000032","Total",89201,17868,20564,9403,9646,6117,2549,6216,1842,6171,8825,1093497.8,14.7
"2011","Peterborough","E06000031","Total",88044,16209,23938,15367,5179,4488,1914,2314,4851,7158,6626,1155725.4,15.6
"2011","Southend-on-Sea","E06000033","Total",81339,18007,16380,8802,5116,3143,1836,10465,2572,7434,7584,1185501.7,17.9
"2011","Thurrock","E06000034","Total",77420,9000,12249,10612,13188,10370,6076,1331,1563,5186,7845,1125820.4,17.5
"2011","Cambridgeshire","E10000003","Total",316000,51579,46066,41855,52366,26899,10057,8169,18208,37431,23370,4613366.9,18.1
"2011","Essex","E10000012","Total",675531,103048,93508,80352,100281,54761,35103,45426,26495,70620,65937,10074163.7,18.7
"2011","Hertfordshire","E10000015","Total",565032,85446,77184,74579,85797,58358,37040,23827,9427,62439,50935,7261930.5,16.1
"2011","Norfolk","E10000020","Total",397314,69525,63669,55205,60223,30582,14292,9023,14544,45406,34845,5406847.6,17.1
"2011","Suffolk","E10000029","Total",351760,68617,56415,41975,53004,25948,11604,8822,15532,40342,29501,4770395.0,16.9
"2011","Camden","E09000007","Total",108966,17698,27648,29373,6766,1417,489,585,1449,14366,9175,723599.6,8.5
"2011","City of London","E09000001","Total",4747,2257,846,384,137,31,23,17,83,687,282,26319.9,7.0
"2011","Hackney","E09000012","Total",118556,16130,30252,34482,9033,1420,476,603,1427,11963,12770,796679.2,8.5
"2011","Hammersmith and Fulham","E09000013","Total",99618,14006,18115,34833,10020,1412,584,592,1140,10416,8500,735802.1,9.1
"2011","Haringey","E09000014","Total",124296,10703,14934,45250,18941,2445,660,594,1583,12465,16721,1028679.1,10.8
"2011","Islington","E09000019","Total",106765,15364,36943,25510,5836,1462,507,587,1400,10122,9034,706803.9,8.1
"2011","Kensington and Chelsea","E09000020","Total",81387,11176,19866,22399,5389,761,412,418,968,13510,6488,533237.2,8.7
"2011","Lambeth","E09000022","Total",166494,14376,32941,64043,17599,2468,1118,1093,2120,13862,16874,1321567.1,9.7
"2011","Lewisham","E09000023","Total",136057,12466,20203,42449,28783,2449,1107,812,1742,11413,14633,1213111.5,11.0
"2011","Newham","E09000025","Total",132454,14025,19480,28419,31363,4038,1311,1193,2068,8945,21612,1259892.8,12.4
"2011","Southwark","E09000028","Total",147388,20095,41277,41941,11142,1832,959,1007,2117,12303,14715,1101779.3,9.2
"2011","Tower Hamlets","E09000030","Total",120873,24729,31135,30894,9206,1617,866,930,1796,9046,10654,900729.2,8.9
"2011","Wandsworth","E09000032","Total",178582,15186,27706,66099,30265,3316,1655,1286,2028,16635,14406,1514911.9,10.3
"2011","Westminster","E09000033","Total",111179,21455,32926,22123,5946,1357,702,849,1650,15542,8629,710834.0,8.2
"2011","Barking and Dagenham","E09000002","Total",75217,8092,13079,11472,19586,4839,1112,598,1300,4740,10399,829231.8,13.8
"2011","Barnet","E09000003","Total",170658,17057,20734,36206,47142,4071,1370,1086,1799,20968,20225,1469351.1,11.3
"2011","Bexley","E09000004","Total",110159,10863,17256,18487,30636,8228,1601,981,1421,8560,12126,1207617.5,13.5
"2011","Brent","E09000005","Total",147461,15451,27761,36623,26401,3214,921,768,1868,12856,21598,1194982.9,10.6
"2011","Bromley","E09000006","Total",151368,15585,18933,21859,48292,11462,2061,1111,1785,15799,14481,1629513.5,13.5
"2011","Croydon","E09000008","Total",172987,22570,24885,29785,45962,10707,1952,1402,2780,15619,17325,1871355.9,13.4
"2011","Ealing","E09000009","Total",164820,18151,25809,35784,39550,5096,1349,1320,2011,15002,20748,1476596.1,11.4
"2011","Enfield","E09000010","Total",137622,15693,23261,22084,40369,4530,1331,848,1764,12362,15380,1306743.4,11.9
"2011","Greenwich","E09000011","Total",117821,11422,17307,25399,32925,3251,1561,794,1664,9610,13888,1180864.2,12.5
"2011","Harrow","E09000015","Total",113900,12576,16529,19138,29857,7904,1271,934,1376,11574,12741,1159749.4,12.9
"2011","Havering","E09000016","Total",112846,12721,17158,16215,19467,21170,2104,971,1534,8705,12801,1364367.2,14.9
"2011","Hillingdon","E09000017","Total",130290,17175,23044,26443,21028,13687,2171,1192,1827,11229,12494,1321592.1,12.4
"2011","Hounslow","E09000018","Total",127032,16376,23852,27711,24730,5701,1448,906,1654,11139,13515,1144105.8,11.2
"2011","Kingston upon Thames","E09000021","Total",81957,11610,12889,11716,21788,5002,1145,694,1004,8942,7167,827953.3,12.6
"2011","Merton","E09000024","Total",104822,10778,15083,18730,33873,2553,1069,701,1161,9455,11419,982213.5,11.7
"2011","Redbridge","E09000026","Total",124692,12264,16001,20714,40806,5232,1564,1025,1702,11029,14355,1302450.4,13.1
"2011","Richmond upon Thames","E09000027","Total",99204,10657,14139,15697,28346,4720,1513,961,1280,13870,8021,992976.1,12.8
"2011","Sutton","E09000029","Total",97658,13437,18695,16339,23297,4180,916,702,1139,8738,10215,910798.0,11.6
"2011","Waltham Forest","E09000031","Total",121021,12441,15249,28045,31352,3017,982,734,1443,9193,18565,1067747.9,11.4
"2011","Bracknell Forest","E06000036","Total",61914,9218,10398,8615,11509,4938,1692,2428,1035,6875,5206,703116.0,14.1
"2011","Brighton and Hove","E06000043","Total",139823,32300,31065,12447,10361,3367,5017,2366,12275,17356,13269,2061388.9,18.9
"2011","Isle of Wight","E06000046","Total",59299,14437,6986,11072,10019,1064,584,535,1794,7280,5528,585835.7,12.6
"2011","Medway","E06000035","Total",126689,18518,23639,16670,16464,7024,5182,13207,3130,9922,12933,1932807.1,18.6
"2011","Milton Keynes","E06000042","Total",127783,17859,31324,27041,8823,6106,2338,3210,8819,12488,9775,1616771.9,15.3
"2011","Portsmouth","E06000044","Total",96619,23310,24425,14837,6030,4603,1506,1450,4092,7092,9274,1091009.4,13.6
"2011","Reading","E06000038","Total",79852,17851,19296,8319,6930,5424,2183,3423,3054,6999,6373,940846.3,14.2
"2011","Slough","E06000039","Total",67300,11851,13519,11082,9741,4514,2980,922,1037,4977,6677,684165.1,12.3
"2011","Southampton","E06000045","Total",112608,23327,31310,19111,9171,3367,1989,2190,4129,7767,10247,1187855.2,12.6
"2011","West Berkshire","E06000037","Total",81679,12398,12674,11932,10948,6241,2997,2827,4124,10689,6849,1081177.8,16.9
"2011","Windsor and Maidenhead","E06000040","Total",73951,10708,9904,10960,12364,4804,4079,3318,1125,10898,5791,869114.7,15.2
"2011","Wokingham","E06000041","Total",81377,8973,13735,15652,11223,5906,2615,4475,1719,10842,6237,992865.2,15.4
"2011","Buckinghamshire","E10000002","Total",254976,34777,30904,32919,38191,22726,15312,14896,6356,35976,22919,3463044.6,17.7
"2011","East Sussex","E10000011","Total",239319,42686,36985,25589,32726,14911,7072,8288,12949,33195,24918,3243120.9,17.9
"2011","Hampshire","E10000014","Total",665466,103727,102205,110217,101247,43246,18217,21457,30837,76931,57382,8990690.1,16.9
"2011","Kent","E10000016","Total",688434,114309,99394,84633,92759,58827,31521,33558,31595,76873,64965,10310774.2,18.9
"2011","Oxfordshire","E10000025","Total",334419,64499,49534,44943,49106,23868,10451,8833,15795,41725,25665,4217919.4,15.8
"2011","Surrey","E10000030","Total",574526,75408,79849,87390,87770,57517,29132,20648,9614,76453,50745,6969381.0,15.6
"2011","West Sussex","E10000032","Total",394689,70011,61000,51521,57083,23252,12084,20353,15872,48246,35267,5271899.2,16.9
"2011","Bath and North East Somerset","E06000022","Total",84858,17252,15658,9527,16284,3816,708,1246,2787,10624,6956,971217.8,14.4
"2011","Bournemouth","E06000028","Total",89186,16787,24712,16630,6135,914,1767,1723,3257,9111,8150,970570.4,13.5
"2011","Bristol, City of","E06000023","Total",209995,45846,63042,35751,15836,2946,2111,2808,6856,17841,16958,2097696.1,12.0
"2011","Cornwall","E06000052","Total",244527,46668,30531,31706,39596,14319,5470,4711,8621,38596,24309,3584822.5,19.7
"2011","Isles of Scilly","E06000053","Total",1311,565,73,20,0,0,0,4,109,428,112,23389.6,30.3
"2011","North Somerset","E06000024","Total",97563,17364,12659,12469,19313,8229,2789,1191,3726,11734,8089,1391588.1,17.9
"2011","Plymouth","E06000026","Total",117466,24950,34918,26035,4949,964,1210,2389,4280,7898,9873,1639773.2,16.4
"2011","Poole","E06000029","Total",71709,13725,21184,12632,4818,863,966,1332,2662,7451,6076,768092.3,13.2
"2011","South Gloucestershire","E06000025","Total",136531,21120,22334,34619,22076,3643,1730,2551,4599,12787,11072,1647284.8,14.6
"2011","Swindon","E06000030","Total",109499,20280,31812,18354,5507,3104,2333,4312,6722,8849,8226,1461793.2,15.8
"2011","Torbay","E06000027","Total",56912,15388,10582,9766,3653,1889,1373,785,1417,6853,5206,619338.8,13.8
"2011","Wiltshire","E06000054","Total",239216,46432,25593,31023,38325,16609,10406,7302,12013,32701,18812,3556871.1,18.9
"2011","Devon","E10000008","Total",353913,71814,48454,42025,56776,20966,7420,6542,11437,56771,31708,4573191.0,17.2
"2011","Dorset","E10000009","Total",190903,35084,23729,28769,29388,10486,6476,4090,7195,28022,17664,2506167.2,17.3
"2011","Gloucestershire","E10000013","Total",300040,55452,51602,41982,43590,18074,8123,8172,11481,37306,24258,3711479.0,15.6
"2011","Somerset","E10000027","Total",256755,56322,34847,29170,39776,15481,8140,5846,8546,36817,21810,3258526.1,16.4
"2011","Isle of Anglesey","W06000001","Total",30431,4680,3453,4025,5259,3028,1196,515,1552,4026,2697,532332.2,22.5
"2011","Gwynedd","W06000002","Total",53961,10020,5041,7791,6836,3659,2125,2075,2970,8546,4898,876729.1,21.6
"2011","Conwy","W06000003","Total",50093,8887,7440,7418,6833,3388,1443,1571,2168,6743,4202,728060.5,18.6
"2011","Denbighshire","W06000004","Total",41156,8053,4547,6222,5389,3923,2049,1211,1210,5136,3416,559366.3,17.2
"2011","Flintshire","W06000005","Total",74049,9986,10683,14543,15888,4903,1885,1677,2793,6577,5114,1053004.0,16.9
"2011","Wrexham","W06000006","Total",63614,9797,13113,12690,9986,3320,1653,1575,2009,5324,4147,787661.8,14.5
"2011","Powys","W06000023","Total",63653,11815,4573,5641,8237,4766,2387,2573,3908,13621,6132,974537.3,22.2
"2011","Ceredigion","W06000008","Total",32446,6248,2886,4015,3675,2065,1084,982,1760,6780,2951,483081.5,21.3
"2011","Pembrokeshire","W06000009","Total",54217,10465,5680,7191,8462,3143,1173,954,2414,9395,5340,808117.5,20.5
"2011","Carmarthenshire","W06000010","Total",80680,13248,8744,7827,15982,7899,2602,2518,3460,11630,6770,1266658.6,20.3
"2011","Swansea","W06000011","Total",102793,18349,24588,23416,10795,2137,2001,2459,3671,8228,7149,1286508.4,14.7
"2011","Neath Port Talbot","W06000012","Total",58980,9029,8642,12017,12410,4041,1188,1866,1481,4081,4225,824110.1,16.3
"2011","Bridgend","W06000013","Total",61259,10494,9386,9892,10289,6234,3203,752,1695,4813,4501,870252.4,16.8
"2011","Vale of Glamorgan","W06000014","Total",58978,9632,8577,12314,11004,3644,896,840,1805,5886,4380,807245.4,16.6
"2011","Cardiff","W06000015","Total",159614,32193,43788,32864,12795,5100,2130,2861,4445,11998,11440,1724618.7,12.7
"2011","Rhondda Cynon Taff","W06000016","Total",99327,13137,13251,17306,23861,9762,2945,922,2520,6778,8845,1360727.0,16.3
"2011","Merthyr Tydfil","W06000024","Total",25099,5719,5258,2784,3098,2235,1425,265,669,1680,1966,331619.8,15.5
"2011","Caerphilly","W06000018","Total",77488,11632,11267,14582,20375,4888,989,1000,1770,5347,5638,961270.3,14.5
"2011","Blaenau Gwent","W06000019","Total",28291,4964,5510,4205,5391,2123,878,673,873,1660,2014,376347.2,15.3
"2011","Torfaen","W06000020","Total",40261,7471,7888,7864,6436,2762,774,536,1043,2582,2905,467654.4,13.4
"2011","Monmouthshire","W06000021","Total",42817,7083,2779,4721,7350,4903,2748,1307,1830,6619,3477,715811.6,21.9
"2011","Newport","W06000022","Total",64408,11067,16790,10854,8978,3383,1436,712,2276,4728,4184,815995.6,14.7
